n,ngram,support,errors,error_rate
1,a,8176,4983,0.6094667318982387
1,n,4807,2964,0.616600790513834
1,r,4456,2759,0.619165170556553
1,i,4385,2682,0.611630558722919
1,h,4118,2448,0.5944633317144244
1,e,3539,2150,0.6075162475275502
1,t,3468,2137,0.6162053056516724
1,s,3213,1980,0.6162464985994398
1,o,2809,1728,0.6151655393378427
1,d,2575,1722,0.6687378640776699
1,l,2333,1426,0.6112301757393913
1,k,2258,1299,0.5752878653675819
1,u,2111,1327,0.6286120322122217
1,m,1970,1195,0.6065989847715736
1,y,1775,1090,0.6140845070422535
1,p,1758,1027,0.5841865756541524
1,b,1535,959,0.6247557003257329
1,g,1475,887,0.6013559322033898
1,c,1228,742,0.6042345276872965
1,v,1187,732,0.6166807076663858
1,j,951,584,0.6140904311251314
1,w,752,473,0.6289893617021277
1,f,398,282,0.7085427135678392
1,z,165,143,0.8666666666666667
1,x,81,50,0.6172839506172839
1,q,46,34,0.7391304347826086
2,an,2224,1374,0.6178057553956835
2,ha,2034,1188,0.584070796460177
2,aa,2017,950,0.4709965294992563
2,ar,1851,1151,0.62182603997839
2,ra,1423,863,0.60646521433591
2,on,1163,680,0.58469475494411
2,at,1146,696,0.6073298429319371
2,ta,936,577,0.6164529914529915
2,sh,936,539,0.5758547008547008
2,al,914,573,0.6269146608315098
2,ma,887,513,0.5783540022547914
2,ka,876,505,0.5764840182648402
2,ya,867,496,0.5720876585928489
2,na,821,485,0.5907429963459196
2,ad,794,551,0.6939546599496221
2,ee,777,433,0.5572715572715573
2,la,728,415,0.570054945054945
2,sa,691,423,0.6121562952243126
2,ch,687,400,0.5822416302765647
2,da,680,497,0.7308823529411764
2,ri,678,402,0.5929203539823009
2,as,654,393,0.6009174311926605
2,am,622,380,0.6109324758842444
2,dh,620,382,0.6161290322580645
2,ti,605,356,0.5884297520661157
2,iy,603,336,0.5572139303482587
2,pa,594,331,0.5572390572390572
2,ak,594,327,0.5505050505050505
2,in,593,382,0.6441821247892074
2,va,583,369,0.6329331046312179
2,hi,578,351,0.6072664359861591
2,ba,540,354,0.6555555555555556
2,ga,512,316,0.6171875
2,en,511,324,0.6340508806262231
2,wa,475,296,0.6231578947368421
2,ni,475,268,0.5642105263157895
2,th,463,304,0.6565874730021598
2,re,452,253,0.5597345132743363
2,yo,441,251,0.5691609977324263
2,ai,434,277,0.6382488479262672
2,er,430,278,0.6465116279069767
2,ur,424,277,0.6533018867924528
2,te,417,249,0.5971223021582733
2,nd,412,288,0.6990291262135923
2,ro,406,249,0.6133004926108374
2,is,406,250,0.6157635467980296
2,ah,400,244,0.61
2,ne,400,228,0.57
2,ik,400,230,0.575
2,ng,394,241,0.6116751269035533
2,it,375,230,0.6133333333333333
2,bh,373,187,0.5013404825737265
2,av,371,227,0.6118598382749326
2,ja,371,245,0.660377358490566
2,kh,371,209,0.5633423180592992
2,tr,366,226,0.6174863387978142
2,nt,366,240,0.6557377049180327
2,oo,360,205,0.5694444444444444
2,he,348,195,0.5603448275862069
2,le,344,224,0.6511627906976745
2,st,343,208,0.6064139941690962
2,li,336,191,0.5684523809523809
2,pr,335,166,0.4955223880597015
2,ay,335,205,0.6119402985074627
2,ab,321,203,0.632398753894081
2,ag,319,214,0.670846394984326
2,ap,318,196,0.6163522012578616
2,di,315,213,0.6761904761904762
2,es,304,175,0.5756578947368421
2,vi,298,179,0.6006711409395973
2,or,286,197,0.6888111888111889
2,ho,284,174,0.6126760563380281
2,si,264,166,0.6287878787878788
2,de,264,171,0.6477272727272727
2,hu,258,158,0.6124031007751938
2,un,258,167,0.6472868217054264
2,pu,236,137,0.5805084745762712
2,il,234,146,0.6239316239316239
2,el,231,143,0.6190476190476191
2,ir,226,135,0.5973451327433629
2,au,225,142,0.6311111111111111
2,ns,221,142,0.6425339366515838
2,aj,221,130,0.5882352941176471
2,id,199,134,0.6733668341708543
2,ut,199,116,0.5829145728643216
2,to,199,140,0.7035175879396985
2,me,198,128,0.6464646464646465
2,et,195,118,0.6051282051282051
2,rt,188,111,0.5904255319148937
2,ol,186,114,0.6129032258064516
2,ul,183,117,0.639344262295082
2,ae,182,92,0.5054945054945055
2,ac,182,112,0.6153846153846154
2,se,181,114,0.6298342541436464
2,lo,175,112,0.64
2,ud,174,116,0.6666666666666666
2,mi,173,98,0.5664739884393064
2,ot,169,113,0.6686390532544378
2,ed,165,122,0.7393939393939394
2,no,163,97,0.5950920245398773
2,us,162,109,0.6728395061728395
2,ks,161,100,0.6211180124223602
2,aw,160,96,0.6
2,ic,159,90,0.5660377358490566
2,uk,157,95,0.6050955414012739
2,tt,157,109,0.6942675159235668
2,ll,157,99,0.6305732484076433
2,ve,154,100,0.6493506493506493
2,su,154,99,0.6428571428571429
2,gh,152,89,0.5855263157894737
2,mu,150,92,0.6133333333333333
2,ru,147,98,0.6666666666666666
2,so,146,86,0.589041095890411
2,od,145,83,0.5724137931034483
2,rs,144,101,0.7013888888888888
2,ry,143,92,0.6433566433566433
2,mo,142,90,0.6338028169014085
2,pe,141,94,0.6666666666666666
2,hr,136,81,0.5955882352941176
2,ko,135,65,0.48148148148148145
2,ip,132,89,0.6742424242424242
2,ke,130,80,0.6153846153846154
2,ge,128,85,0.6640625
