n,ngram,support,errors,error_rate
1,a,8176,4716,0.5768101761252447
1,n,4807,2812,0.5849802371541502
1,r,4456,2539,0.5697935368043088
1,i,4385,2474,0.5641961231470923
1,h,4118,2246,0.5454103933948519
1,e,3539,2064,0.5832155976264481
1,t,3468,2018,0.5818915801614764
1,s,3213,1848,0.5751633986928104
1,o,2809,1612,0.5738697045211819
1,d,2575,1585,0.6155339805825243
1,l,2333,1396,0.5983711958851264
1,k,2258,1199,0.5310008857395926
1,u,2111,1283,0.6077688299384179
1,m,1970,1132,0.5746192893401015
1,y,1775,1003,0.5650704225352112
1,p,1758,943,0.5364050056882821
1,b,1535,893,0.5817589576547231
1,g,1475,844,0.5722033898305084
1,c,1228,719,0.5855048859934854
1,v,1187,639,0.5383319292333614
1,j,951,536,0.5636172450052577
1,w,752,435,0.5784574468085106
1,f,398,275,0.6909547738693468
1,z,165,136,0.8242424242424242
1,x,81,51,0.6296296296296297
1,q,46,31,0.6739130434782609
2,an,2224,1317,0.5921762589928058
2,ha,2034,1082,0.5319567354965585
2,aa,2017,901,0.4467030242935052
2,ar,1851,1024,0.5532144786601837
2,ra,1423,820,0.5762473647224174
2,on,1163,636,0.5468615649183147
2,at,1146,649,0.5663176265270506
2,ta,936,564,0.6025641025641025
2,sh,936,472,0.5042735042735043
2,al,914,569,0.6225382932166302
2,ma,887,486,0.5479143179255919
2,ka,876,466,0.5319634703196348
2,ya,867,449,0.5178777393310265
2,na,821,463,0.5639464068209501
2,ad,794,493,0.6209068010075567
2,ee,777,426,0.5482625482625483
2,la,728,420,0.5769230769230769
2,sa,691,378,0.5470332850940666
2,ch,687,384,0.5589519650655022
2,da,680,470,0.6911764705882353
2,ri,678,360,0.5309734513274337
2,as,654,360,0.5504587155963303
2,am,622,359,0.5771704180064309
2,dh,620,334,0.5387096774193548
2,ti,605,326,0.5388429752066116
2,iy,603,309,0.5124378109452736
2,pa,594,308,0.5185185185185185
2,ak,594,293,0.49326599326599324
2,in,593,358,0.6037099494097807
2,va,583,319,0.5471698113207547
2,hi,578,295,0.5103806228373703
2,ba,540,331,0.6129629629629629
2,ga,512,299,0.583984375
2,en,511,307,0.6007827788649707
2,wa,475,275,0.5789473684210527
2,ni,475,243,0.511578947368421
2,th,463,274,0.591792656587473
2,re,452,246,0.5442477876106194
2,yo,441,234,0.5306122448979592
2,ai,434,276,0.6359447004608295
2,er,430,269,0.6255813953488372
2,ur,424,262,0.6179245283018868
2,te,417,244,0.5851318944844125
2,nd,412,269,0.6529126213592233
2,ro,406,233,0.5738916256157636
2,is,406,238,0.5862068965517241
2,ah,400,236,0.59
2,ne,400,238,0.595
2,ik,400,192,0.48
2,ng,394,247,0.6269035532994924
2,it,375,219,0.584
2,bh,373,164,0.43967828418230565
2,av,371,194,0.522911051212938
2,ja,371,223,0.601078167115903
2,kh,371,197,0.5309973045822103
2,tr,366,201,0.5491803278688525
2,nt,366,229,0.6256830601092896
2,oo,360,196,0.5444444444444444
2,he,348,192,0.5517241379310345
2,le,344,209,0.6075581395348837
2,st,343,191,0.5568513119533528
2,li,336,192,0.5714285714285714
2,pr,335,157,0.46865671641791046
2,ay,335,189,0.564179104477612
2,ab,321,192,0.5981308411214953
2,ag,319,189,0.5924764890282131
2,ap,318,173,0.5440251572327044
2,di,315,190,0.6031746031746031
2,es,304,163,0.5361842105263158
2,vi,298,155,0.5201342281879194
2,or,286,184,0.6433566433566433
2,ho,284,157,0.5528169014084507
2,si,264,162,0.6136363636363636
2,de,264,146,0.553030303030303
2,hu,258,155,0.6007751937984496
2,un,258,167,0.6472868217054264
2,pu,236,118,0.5
2,il,234,142,0.6068376068376068
2,el,231,127,0.5497835497835498
2,ir,226,129,0.5707964601769911
2,au,225,142,0.6311111111111111
2,ns,221,140,0.6334841628959276
2,aj,221,107,0.4841628959276018
2,id,199,125,0.628140703517588
2,ut,199,110,0.5527638190954773
2,to,199,127,0.6381909547738693
2,me,198,115,0.5808080808080808
2,et,195,116,0.5948717948717949
2,rt,188,90,0.4787234042553192
2,ol,186,97,0.521505376344086
2,ul,183,110,0.6010928961748634
2,ae,182,93,0.510989010989011
2,ac,182,116,0.6373626373626373
2,se,181,119,0.6574585635359116
2,lo,175,118,0.6742857142857143
2,ud,174,109,0.6264367816091954
2,mi,173,93,0.5375722543352601
2,ot,169,98,0.5798816568047337
2,ed,165,106,0.6424242424242425
2,no,163,86,0.5276073619631901
2,us,162,108,0.6666666666666666
2,ks,161,91,0.5652173913043478
2,aw,160,98,0.6125
2,ic,159,89,0.559748427672956
2,uk,157,89,0.5668789808917197
2,tt,157,108,0.6878980891719745
2,ll,157,91,0.5796178343949044
2,ve,154,89,0.577922077922078
2,su,154,100,0.6493506493506493
2,gh,152,81,0.5328947368421053
2,mu,150,88,0.5866666666666667
2,ru,147,92,0.6258503401360545
2,so,146,96,0.6575342465753424
2,od,145,78,0.5379310344827586
2,rs,144,80,0.5555555555555556
2,ry,143,81,0.5664335664335665
2,mo,142,81,0.5704225352112676
2,pe,141,87,0.6170212765957447
2,hr,136,78,0.5735294117647058
2,ko,135,60,0.4444444444444444
2,ip,132,82,0.6212121212121212
2,ke,130,69,0.5307692307692308
2,ge,128,80,0.625
2,be,128,73,0.5703125
2,nk,122,64,0.5245901639344263
2,ji,122,66,0.5409836065573771
2,im,121,61,0.5041322314049587
2,hy,121,64,0.5289256198347108
2,nc,121,69,0.5702479338842975
2,do,121,75,0.6198347107438017
2,fa,121,87,0.71900826446281
2,ao,120,52,0.43333333333333335
2,ey,119,79,0.6638655462184874
2,iv,118,57,0.4830508474576271
2,gi,117,71,0.6068376068376068
2,em,117,69,0.5897435897435898
2,ek,115,65,0.5652173913043478
2,rm,115,71,0.6173913043478261
2,os,115,60,0.5217391304347826
2,kt,113,63,0.5575221238938053
2,ht,113,73,0.6460176991150443
2,ki,112,67,0.5982142857142857
2,hh,111,57,0.5135135135135135
2,je,111,60,0.5405405405405406
2,ph,107,76,0.7102803738317757
2,rn,107,58,0.5420560747663551
2,po,106,60,0.5660377358490566
2,co,106,64,0.6037735849056604
2,pi,105,59,0.5619047619047619
2,ig,104,41,0.3942307692307692
2,eg,102,41,0.4019607843137255
2,bi,102,73,0.7156862745098039
2,du,101,71,0.7029702970297029
2,ye,99,64,0.6464646464646465
2,ev,98,43,0.4387755102040816
2,dd,97,56,0.5773195876288659
2,ia,96,63,0.65625
2,ea,95,78,0.8210526315789474
2,rd,95,59,0.6210526315789474
2,up,95,53,0.5578947368421052
2,um,94,54,0.574468085106383
2,dr,93,58,0.6236559139784946
2,io,93,56,0.6021505376344086
2,ok,92,49,0.532608695652174
2,gu,92,61,0.6630434782608695
2,kr,92,42,0.45652173913043476
2,hn,91,40,0.43956043956043955
2,bu,90,50,0.5555555555555556
2,ca,90,65,0.7222222222222222
2,bo,89,58,0.651685393258427
2,ib,88,53,0.6022727272727273
2,ie,85,63,0.7411764705882353
2,ub,85,40,0.47058823529411764
2,op,85,45,0.5294117647058824
2,gr,85,48,0.5647058823529412
2,br,84,59,0.7023809523809523
2,ec,83,45,0.5421686746987951
2,rv,82,57,0.6951219512195121
2,ou,81,59,0.7283950617283951
2,nu,81,38,0.4691358024691358
2,ku,78,44,0.5641025641025641
2,wi,77,33,0.42857142857142855
2,rg,75,41,0.5466666666666666
2,go,74,36,0.4864864864864865
2,tu,74,49,0.6621621621621622
2,sw,74,41,0.5540540540540541
2,ts,74,50,0.6756756756756757
2,om,73,46,0.6301369863013698
2,yu,71,46,0.647887323943662
2,jh,71,43,0.6056338028169014
2,gy,69,19,0.2753623188405797
2,nn,69,42,0.6086956521739131
2,eh,69,42,0.6086956521739131
2,we,69,31,0.4492753623188406
2,lt,69,46,0.6666666666666666
2,ny,68,48,0.7058823529411765
2,ty,68,38,0.5588235294117647
2,og,67,45,0.6716417910447762
2,ly,64,51,0.796875
2,nj,64,35,0.546875
2,ij,63,35,0.5555555555555556
2,oc,63,40,0.6349206349206349
2,eb,63,44,0.6984126984126984
2,ce,63,42,0.6666666666666666
2,fi,61,41,0.6721311475409836
2,rk,60,31,0.5166666666666667
2,vy,59,32,0.5423728813559322
2,ct,59,28,0.4745762711864407
2,ew,59,36,0.6101694915254238
2,ug,58,32,0.5517241379310345
2,af,57,42,0.7368421052631579
2,ju,55,35,0.6363636363636364
2,lu,55,32,0.5818181818181818
2,ck,55,28,0.509090909090909
2,az,54,46,0.8518518518518519
2,ss,54,42,0.7777777777777778
2,rw,53,27,0.5094339622641509
2,uj,53,30,0.5660377358490566
2,mp,53,42,0.7924528301886793
2,sv,52,34,0.6538461538461539
2,oh,52,29,0.5576923076923077
2,hw,50,24,0.48
2,bl,50,39,0.78
2,mb,50,35,0.7
2,rr,49,32,0.6530612244897959
2,za,49,42,0.8571428571428571
2,ei,49,30,0.6122448979591837
2,jo,48,25,0.5208333333333334
2,uc,48,31,0.6458333333333334
2,hk,48,29,0.6041666666666666
2,fo,48,34,0.7083333333333334
2,pl,48,32,0.6666666666666666
2,sp,47,31,0.6595744680851063
2,nv,44,25,0.5681818181818182
2,hm,44,29,0.6590909090909091
2,ci,43,30,0.6976744186046512
2,rh,43,29,0.6744186046511628
2,sk,42,17,0.40476190476190477
2,ep,42,23,0.5476190476190477
2,ls,42,25,0.5952380952380952
2,ob,41,34,0.8292682926829268
2,iw,40,17,0.425
2,ej,40,21,0.525
2,rc,40,28,0.7
2,ow,40,28,0.7
2,oj,40,20,0.5
2,ua,40,29,0.725
2,rp,39,23,0.5897435897435898
2,mm,39,25,0.6410256410256411
2,tm,38,11,0.2894736842105263
2,lk,38,23,0.6052631578947368
2,ld,38,20,0.5263157894736842
2,dw,37,22,0.5945945945945946
2,dy,37,22,0.5945945945945946
2,wo,37,19,0.5135135135135135
2,fr,37,23,0.6216216216216216
2,ih,36,18,0.5
2,rb,36,23,0.6388888888888888
2,hl,36,20,0.5555555555555556
2,lm,35,24,0.6857142857142857
2,ex,35,22,0.6285714285714286
2,cr,34,21,0.6176470588235294
2,tn,34,20,0.5882352941176471
2,ue,33,29,0.8787878787878788
2,cl,33,17,0.5151515151515151
2,hv,33,21,0.6363636363636364
2,tl,33,18,0.5454545454545454
